Price,LIBOR,VIX
2019-01-03,2.3550000190734863,25.450000762939453
2019-01-04,2.3580000400543213,21.3799991607666
2019-01-07,2.3529999256134033,21.399999618530273
2019-01-08,2.4000000953674316,20.469999313354492
2019-01-09,2.390000104904175,19.979999542236328
2019-01-10,2.375,19.5
2019-01-11,2.369999885559082,18.190000534057617
2019-01-14,2.359999895095825,19.06999969482422
2019-01-15,2.382999897003174,18.600000381469727
2019-01-16,2.36299991607666,19.040000915527344
2019-01-17,2.3550000190734863,18.059999465942383
2019-01-18,2.3480000495910645,17.799999237060547
2019-01-22,2.3450000286102295,20.799999237060547
2019-01-23,2.3529999256134033,19.520000457763672
2019-01-24,2.305000066757202,18.889999389648438
2019-01-25,2.328000068664551,17.420000076293945
2019-01-28,2.3329999446868896,18.8700008392334
2019-01-29,2.365000009536743,19.1299991607666
2019-01-30,2.365000009536743,17.65999984741211
2019-01-31,2.3399999141693115,16.56999969482422
2019-02-01,2.3399999141693115,16.139999389648438
2019-02-04,2.3350000381469727,15.729999542236328
2019-02-05,2.365000009536743,15.569999694824219
2019-02-06,2.365000009536743,15.380000114440918
2019-02-07,2.3550000190734863,16.3700008392334
2019-02-08,2.365000009536743,15.720000267028809
2019-02-11,2.375,15.970000267028809
2019-02-12,2.378000020980835,15.430000305175781
2019-02-13,2.372999906539917,15.649999618530273
2019-02-14,2.372999906539917,16.219999313354492
2019-02-15,2.369999885559082,14.90999984741211
2019-02-19,2.372999906539917,14.880000114440918
2019-02-20,2.382999897003174,14.020000457763672
2019-02-21,2.3949999809265137,14.460000038146973
2019-02-22,2.3929998874664307,13.510000228881836
2019-02-25,2.3929998874664307,14.850000381469727
2019-02-26,2.4000000953674316,15.170000076293945
2019-02-27,2.3929998874664307,14.699999809265137
2019-02-28,2.382999897003174,14.779999732971191
2019-03-01,2.378000020980835,13.569999694824219
2019-03-04,2.375,14.630000114440918
2019-03-05,2.4000000953674316,14.739999771118164
2019-03-06,2.4049999713897705,15.739999771118164
2019-03-07,2.3949999809265137,16.59000015258789
2019-03-08,2.3929998874664307,16.049999237060547
2019-03-11,2.380000114440918,14.329999923706055
2019-03-12,2.3949999809265137,13.770000457763672
2019-03-13,2.388000011444092,13.40999984741211
2019-03-14,2.388000011444092,13.5
2019-03-15,2.388000011444092,12.880000114440918
2019-03-18,2.384999990463257,13.100000381469727
2019-03-19,2.4049999713897705,13.5600004196167
2019-03-20,2.4079999923706055,13.90999984741211
2019-03-21,2.4079999923706055,13.630000114440918
2019-03-22,2.3980000019073486,16.479999542236328
2019-03-25,2.390000104904175,16.329999923706055
2019-03-26,2.4049999713897705,14.680000305175781
2019-03-27,2.378000020980835,15.149999618530273
2019-03-28,2.369999885559082,14.430000305175781
2019-03-29,2.328000068664551,13.710000038146973
2019-04-01,2.322999954223633,13.399999618530273
2019-04-02,2.369999885559082,13.359999656677246
2019-04-03,2.372999906539917,13.739999771118164
2019-04-04,2.369999885559082,13.579999923706055
2019-04-05,2.369999885559082,12.819999694824219
2019-04-08,2.365000009536743,13.180000305175781
2019-04-09,2.365000009536743,14.279999732971191
2019-04-10,2.36299991607666,13.300000190734863
2019-04-11,2.365000009536743,13.020000457763672
2019-04-12,2.375,12.010000228881836
2019-04-15,2.359999895095825,12.319999694824219
2019-04-16,2.378000020980835,12.180000305175781
2019-04-17,2.380000114440918,12.600000381469727
2019-04-18,2.365000009536743,12.09000015258789
2019-04-22,2.375,12.420000076293945
2019-04-23,2.390000104904175,12.279999732971191
2019-04-24,2.375,13.140000343322754
2019-04-25,2.365000009536743,13.25
2019-04-26,2.359999895095825,12.729999542236328
2019-04-29,2.359999895095825,13.109999656677246
2019-04-30,2.368000030517578,13.119999885559082
2019-05-01,2.36299991607666,14.800000190734863
2019-05-02,2.372999906539917,14.420000076293945
2019-05-03,2.368000030517578,12.869999885559082
2019-05-06,2.36299991607666,15.4399995803833
2019-05-07,2.368000030517578,19.31999969482422
2019-05-08,2.369999885559082,19.399999618530273
2019-05-09,2.369999885559082,19.100000381469727
2019-05-10,2.369999885559082,16.040000915527344
2019-05-13,2.3499999046325684,20.549999237060547
2019-05-14,2.3529999256134033,18.059999465942383
2019-05-15,2.3499999046325684,16.440000534057617
2019-05-16,2.3380000591278076,15.289999961853027
2019-05-17,2.3299999237060547,15.960000038146973
2019-05-20,2.319999933242798,16.309999465942383
2019-05-21,2.3299999237060547,14.949999809265137
2019-05-22,2.319999933242798,14.75
2019-05-23,2.302999973297119,16.920000076293945
2019-05-24,2.2880001068115234,15.850000381469727
2019-05-28,2.2980000972747803,17.5
2019-05-29,2.2980000972747803,17.899999618530273
2019-05-30,2.309999942779541,17.299999237060547
2019-05-31,2.2929999828338623,18.709999084472656
2019-06-03,2.2799999713897705,18.860000610351562
2019-06-04,2.2950000762939453,16.969999313354492
2019-06-05,2.2850000858306885,16.09000015258789
2019-06-06,2.255000114440918,15.930000305175781
2019-06-07,2.2149999141693115,16.299999237060547
2019-06-10,2.2200000286102295,15.9399995803833
2019-06-11,2.2130000591278076,15.989999771118164
2019-06-12,2.1649999618530273,15.90999984741211
2019-06-13,2.140000104904175,15.819999694824219
2019-06-14,2.125,15.279999732971191
2019-06-17,2.138000011444092,15.350000381469727
2019-06-18,2.1679999828338623,15.149999618530273
2019-06-19,2.125,14.329999923706055
2019-06-20,2.078000068664551,14.75
2019-06-21,2.055000066757202,15.399999618530273
2019-06-24,2.058000087738037,15.260000228881836
2019-06-25,2.0829999446868896,16.280000686645508
2019-06-26,2.0929999351501465,16.209999084472656
2019-06-27,2.0850000381469727,15.819999694824219
